College Name,City,Branch,Category,Cutoff
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,83.77
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,90.16
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,83.21
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,86.62
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,91.36
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,85.06
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,92.12
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,87.78
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,71.56
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,80.97
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,88.77
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,91.08
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,83.56
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,68.49
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,53.61
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,82.88
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,73.56
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,90.65
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,67.82
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,80.35
"01002 - Government College of Engineering, Amravati",Amravati,Electrical Engineering,OPEN,82.22
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,95.06
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,89.2
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,60.42
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,88.96
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,90.88
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,94.82
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,94.59
