College Name,City,Branch,Category,Cutoff,Year
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GOPENS,88.5,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GSCS,77.84,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GSTS,65.88,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GVJS,81.29,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GNT,88.44,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GNT,85.75,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GNT,87.89,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GOBCS,85.38,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GSEBCS,75.35,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LOPENS,88.12,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LSCS,83.64,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LSTS,66.85,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LVJS,81.37,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LNT,70.87,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LOBCS,83.65,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LSEBCS,55.23,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,PWDOPE,53.77,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,DEFOPE,67.05,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,DEFOBC,47.98,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,TFWS,85.54,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,DEFRSE,50.63,2024
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,EWS,66.19,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GOPENS,97.39,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GSCS,94.17,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GSTS,80.59,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GVJS,94.33,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GNT,94.44,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GNT,94.55,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GOBCS,97.04,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GSEBCS,94.69,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LOPENS,96.91,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LSCS,94.84,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LSTS,84.24,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LNT,93.21,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LNT,92.02,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LOBCS,96.75,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,LSEBCS,94.84,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,PWDOPE,88.6,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,PWDOBC,82.78,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,DEFOPE,90.78,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,DEFOBC,87.82,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,TFWS,98.12,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,PWDRSC,83.75,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,DEFROB,89.31,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,ORPHAN,86.18,2024
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,EWS,95.39,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GOPENS,96.03,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GSCS,92.43,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GSTS,80.06,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GVJS,92.64,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GNT,92.53,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GNT,93.99,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GNT,94.12,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GOBCS,95.81,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,GSEBCS,93.87,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,LOPENS,96.17,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,LSCS,92.43,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,LSTS,78.15,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,LNT,93.11,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,LOBCS,95.82,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,LSEBCS,93.48,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,PWDOPE,69.27,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,PWDOBC,57.05,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,DEFOPE,88.55,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,DEFOBC,82.19,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,TFWS,96.72,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,PWDRSC,67.69,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,DEFRNT,87.1,2024
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,ORPHAN,61.64,2024
