College Code,College Name,Choice Code,Course Name,Stage,Category,Cutoff Rank,Percentile,City
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LOPENS,12183,96.5201084,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LSCS,28662,91.6544074,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LSTS,65926,79.9072027,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LNT2S,15745,95.4505300,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LOBCS,13342,96.1719670,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LSEBCS,17281,95.0157683,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,PWDOPENS,54426,83.7239356,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,PWDOBCS,88788,71.6607627,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,DEFOPENS,36897,89.1476381,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,DEFOBCS,45048,86.6718198,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,TFWS,12026,96.5454743,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,PWDRSCS,77323,75.6538462,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,DEFRNT3S,45117,86.6718198,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,ORPHAN,67452,79.6033896,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,EWS,22723,93.4192837,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GOPENS,28037,91.7521019,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GSCS,45807,86.3869833,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GSTS,81211,74.6802716,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GVJS,54199,83.7674516,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GNT1S,33361,90.1610143,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GNT2S,55530,83.2103258,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GNT3S,45231,86.6223776,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GOBCS,29365,91.3593874,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,GSEBCS,50107,85.0571556,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LOPENS,26875,92.1231015,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LSCS,41351,87.7785554,Amravati
